VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          2,           0,           4,       -3.56640014,      -1.037628464,      -1.073158836,          1.916944,       2.700536347,       6.237460736,      0.2211144857,     -0.7503860925,                 0,                 0,                 0,     -0.1639247608,      0.2211144857,     -0.7503860925,                 0,      -3.393654153,              -nan,     -0.9784525601,     -0.8536693014,      -1.025992512,     -0.9235128034,    -0.03215303832,     -0.9282094994
          2,           0,           0,      -3.690944721,      -1.206467856,      -1.283747394,       1.792175992,       2.700536533,       6.193782678,      0.2008510853,     -0.7369361148,                 0,                 0,                 0,     -0.1591476647,      0.2008510853,     -0.7369361148,                 0,      -3.669067128,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          2,           0,           1,      -3.769608767,      -1.328178969,      -1.394210764,       1.705979125,       2.700536756,       6.328692812,      0.1815729321,     -0.7213179022,                 0,                 0,                 0,     -0.1533027644,      0.1815729321,     -0.7213179022,                 0,      -3.972607006,              -nan,    -0.07866404626,     -0.1217111128,     -0.1104633701,    -0.08619686656,                 0,                 0
          2,           0,           2,      -3.823307832,      -1.401508918,      -1.413145019,       1.646283588,       2.700536929,       6.798904729,      0.1632315372,      -0.704297239,                 0,                 0,                 0,     -0.1468550081,      0.1632315372,      -0.704297239,                 0,      -4.314713022,              -nan,     -0.1323631108,     -0.1950410615,     -0.1293976249,     -0.1458924034,                 0,                 0
          2,           0,           3,      -3.866579706,      -1.444096398,      -1.403622157,       1.600802357,       2.700536429,       7.110395656,      0.1459087802,     -0.6860086249,                 0,                 0,                 0,     -0.1398092734,      0.1459087802,     -0.6860086249,                 0,      -4.701626755,              -nan,     -0.1756349854,     -0.2376285419,     -0.1198747624,      -0.191373635,  -4.999841714e-07,                 0
          2,           0,           4,      -3.904518177,      -1.472990563,      -1.394145199,        1.56305556,       2.700536414,       6.584174349,      0.1299071211,      -0.666749044,                 0,                 0,                 0,     -0.1322363283,      0.1299071211,      -0.666749044,                 0,      -5.132505736,              -nan,     -0.2135734561,     -0.2665227064,     -0.1103978041,     -0.2291204312,   -5.15128181e-07,     -0.5262213071
          3,           0,           0,      -2.449926135,    0.003765655338,     0.07937014028,       2.981385573,       1.687444621,       6.095941017,      0.1123852965,     -0.6181545927,                 0,                 0,                 0,      -0.112397188,      0.1123852965,     -0.6181545927,                 0,      -5.500315537,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          3,           0,           1,      -2.889717239,     -0.3761146055,     -0.3498185232,       2.550305916,       1.021513006,       6.187484718,      0.1002353295,     -0.5988085407,                 0,                 0,                 0,     -0.1052337699,      0.1002353295,     -0.5988085407,                 0,      -5.974026762,              -nan,     -0.4397911031,     -0.3798802609,     -0.4291886635,     -0.4310796572,      -0.665931615,                 0
          3,           0,           2,      -3.196215972,      -0.715931145,     -0.7520275962,       2.264659539,      0.9690197202,       5.665886081,     0.09072892368,     -0.5822275693,                 0,                 0,                 0,     -0.0987001095,     0.09072892368,     -0.5822275693,                 0,      -6.417221165,              -nan,     -0.7462898361,     -0.7196968004,     -0.8313977364,     -0.7167260339,      -0.718424901,     -0.5215986366
          3,           0,           3,      -3.406979405,     -0.9954121495,      -1.048828571,       2.071189168,      0.9685864733,       5.616292207,     0.08364408814,     -0.5651555646,                 0,                 0,                 0,    -0.09168149856,     0.08364408814,     -0.5651555646,                 0,       -6.75667076,              -nan,     -0.9570532693,     -0.9991778048,      -1.128198711,     -0.9101964052,     -0.7188581478,     -0.5711925114
          3,           0,           4,      -3.564852259,      -1.186629621,      -1.186269452,       1.921098002,      0.9693458355,       5.988918769,      0.0787964272,     -0.5481113463,                 0,                 0,                 0,    -0.08453574048,      0.0787964272,     -0.5481113463,                 0,      -6.956043132,              -nan,      -1.114926124,      -1.190395276,      -1.265639593,      -1.060287571,     -0.7180987856,     -0.1985659487
          3,           0,           0,      -3.693257316,      -1.313338547,       -1.26307251,       1.796162368,      0.9710641999,       6.486908909,     0.07599331075,       -0.53436503,                 0,                 0,                 0,    -0.07889482437,     0.07599331075,       -0.53436503,                 0,      -7.031737724,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          3,           0,           1,      -3.798574769,      -1.408651071,      -1.315472707,       1.691954895,        0.96961178,       6.333543007,     0.07402363834,     -0.5173307279,                 0,                 0,                 0,    -0.07141530946,     0.07402363834,     -0.5173307279,                 0,      -6.988723326,              -nan,     -0.1053174538,     -0.0953125247,    -0.05240019734,     -0.1042074728,   -0.001452419842,     -0.1533659017
          3,           0,           2,      -3.881707116,      -1.483271898,      -1.357623967,       1.607552764,      0.9690079501,       5.829759942,      0.0725086105,     -0.4998501889,                 0,                 0,                 0,    -0.06355733061,      0.0725086105,     -0.4998501889,                 0,      -6.893666634,              -nan,     -0.1884498007,     -0.1699333517,    -0.09455145686,     -0.1886096044,   -0.002056249808,     -0.6571489664
