Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2
0.12300000000000003	123	2	0.0	0.0	0.0	0.0017516423671013791	-0.8728687054281753	-4.425732407162458	
0.12400000000000003	124	2	0.0	0.0	0.0	0.0008769287826566037	-0.8761901033288303	-2.2156646842238845	
0.12500000000000003	125	2	0.0	0.0	0.0	-2.6728451774028303e-17	-0.8772981689857208	6.753260678739312e-14	
0.12600000000000003	126	2	0.0	0.0	0.0	-0.0008769287826566416	-0.8761901033288303	2.21566468422398	
0.12700000000000003	127	2	0.0	0.0	0.0	-0.0017516423671014168	-0.8728687054281751	4.4257324071625535	
0.12800000000000003	128	2	0.0	0.0	0.0	-0.0026219311509054015	-0.8673423654231099	6.624620345940285	
0.12900000000000003	129	2	0.0	0.0	0.0	-0.003485596709070146	-0.859625043328107	8.806773918786892	
0.13000000000000003	130	2	0.0	0.0	0.0	-0.004340457347439919	-0.8497362337685491	10.966680816392618	
0.13100000000000003	131	2	0.0	0.0	0.0	-0.005184353613850613	-0.8377009167356133	13.098884926480263	
0.13200000000000003	132	2	0.0	0.0	0.0	-0.00601515375309322	-0.8235494944846454	15.198000116418052	
0.13300000000000003	133	2	0.0	0.0	0.0	-0.006830759091912547	-0.8073177147364248	17.25872383905823	
0.13400000000000004	134	2	0.0	0.0	0.0	-0.007629109340438035	-0.7890465803753183	19.275850527431466	
0.13500000000000004	135	2	0.0	0.0	0.0	-0.008408187796654688	-0.7687822458724367	21.24428474446053	
0.13600000000000004	136	2	0.0	0.0	0.0	-0.009166026440767496	-0.7465759006954347	23.15905405447688	
0.13700000000000004	137	2	0.0	0.0	0.0	-0.009900710906590131	-0.722483639999473	25.015321584024413	
0.13800000000000004	138	2	0.0	0.0	0.0	-0.01061038531740018	-0.6965663229259875	26.808398240221884	
0.13900000000000004	139	2	0.0	0.0	0.0	-0.011293256974044728	-0.6688894188672172	28.533754555818224	
0.14000000000000004	140	2	0.0	0.0	0.0	-0.011947600883454035	-0.6395228420848373	30.187032131020043	
0.14100000000000004	141	2	0.0	0.0	0.0	-0.01257176411612378	-0.6085407751004647	31.764054643187844	
0.14200000000000004	142	2	0.0	0.0	0.0	-0.013164169981558362	-0.5760214813041732	33.260838396589264	
0.14300000000000004	143	2	0.0	0.0	0.0	-0.013723322011128013	-0.5420471072543748	34.67360238556045	
0.14400000000000004	144	2	0.0	0.0	0.0	-0.014247807738278356	-0.506703475168487	35.99877784565429	
0.14500000000000005	145	2	0.0	0.0	0.0	-0.014736302266543579	-0.4700798661285594	37.23301726864936	
0.14600000000000005	146	2	0.0	0.0	0.0	-0.015187571616349826	-0.43226879454951617	38.37320285864603	
0.14700000000000005	147	2	0.0	0.0	0.0	-0.01560047584215473	-0.39336577447971244	39.416454407889546	
0.14800000000000005	148	2	0.0	0.0	0.0	-0.015973971912048808	-0.35346907832415736	40.360136572424885	
0.14900000000000005	149	2	0.0	0.0	0.0	-0.016307116342544527	-0.312679488599894	41.201865529204134	
